Threshold	0.5
tournaments	[0.24814656]
protecting	[0.03039805]
green	[0.0404854]
cropland	[0.10718847]
global_war_on_terrorism_continues_moving	[0.2798314]
coley	[0.26076271]
bath	[0.55700697]
spelling_bee	[0.37736115]
sons	[0.07945984]
reporting	[0.05241146]
wear_masks	[0.38427972]
fully_support	[0.17168952]
rumors	[0.79965557]
consulted	[0.24467386]
teens	[0.1500719]
erupted	[0.6004445]
conner	[0.14748031]
customers	[0.04588684]
weicker	[0.69350321]
expanded_medicaid	[0.72119265]
falmouth	[0.25426671]
prejudices	[0.96283033]
delano	[0.13744199]
fuel_efficiency	[0.61172578]
insular	[0.14008418]
chief_operating_officer	[0.15417108]
fentanyl	[0.06202129]
raided	[0.43300564]
heat_wave	[0.41127958]
abby	[0.34077316]
halted	[0.19993375]
stocked	[0.46083279]
demonized	[0.49601911]
decides	[0.14242799]
noise	[0.19837197]
turnover	[0.12658099]
willfully	[0.58333203]
orange	[0.21751919]
gunmen	[0.81645536]
asher	[0.79236543]
became	[0.02767635]
immediately	[0.10956276]
easiest	[0.87363149]
cooked	[0.70244304]
health	[0.01155007]
longest_running	[0.21957685]
detainees	[0.52467689]
vital_mission	[0.54220578]
laugh	[0.6681068]
cut_spending	[0.32041529]
natural_immunity	[0.78392786]
pawn	[0.57166605]
defense_authorization	[0.19439448]
emphasized	[0.16743364]
trades	[0.16881189]
bringing_home	[0.12697852]
spent_years	[0.34328467]
nepa	[0.1907816]
kurds	[0.57485257]
connectivity	[0.08127481]
1999	[0.04167166]
behavioral	[0.07323123]
barricades	[0.8168541]
dome	[0.36347125]
13th_congressional_district	[0.17387676]
rigorous	[0.213463]
resident_commissioner	[0.19060176]
playoff	[0.50521843]
big_deal	[0.41159058]
caretakers	[0.68995154]
foreign_entities	[0.14233345]
minutes	[0.14443694]
accompanying	[0.10780538]
tyrone	[0.26557625]
dollars	[0.06153239]
survived	[0.10403217]
lions	[0.15148429]
agricultural_education	[0.07359814]
guideline	[0.23127317]
rejects	[0.17206273]
scouting	[0.23153298]
mortar	[0.25001315]
purpose	[0.05190798]
clients	[0.18622918]
enthusiastically	[0.29458023]
mobility	[0.07024868]
global_energy	[0.05117014]
bipartisan_resolution	[0.16360014]
analyzed	[0.23095941]
recently	[0.05254405]
marine_corps_league	[0.17546259]
headwaters	[0.14507922]
rulings	[0.62246689]
reply	[0.79576072]
rescind	[0.17245409]
acts	[0.11871739]
helping_young	[0.50292004]
400	[0.09121538]
caters	[0.27702039]
jackson_county	[0.22266953]
important_reforms	[0.28978472]
poetry	[0.29147603]
accuse	[0.84833641]
looks	[0.14612142]
manipulated	[0.33651773]
contingent	[0.15330876]
150	[0.12632396]
shattered	[0.4064224]
housing_illegal_immigrants	[0.40013413]
del_rio	[0.55297188]
natural_resources_committee	[0.29300708]
drinking	[0.09472272]
petitions	[0.61903968]
showing	[0.08190736]
wade	[0.36176828]
state_senate	[0.51048538]
million_small_businesses	[0.16131977]
interpretive	[0.14143115]
holiday_season	[0.89143204]
bailout	[0.30953268]
of	[0.01477441]
wants	[0.04891962]
impractical	[0.79302434]
bastion	[0.6188909]
photo	[0.24261182]
sunday_school	[0.22590794]
outstanding_public_servant	[0.32942712]
public_school_district	[0.35053077]
tribunal	[0.70868925]
incitement	[0.72259336]
refused	[0.23068911]
clarifying	[0.32179326]
approvals	[0.17134762]
ignorance	[0.65061391]
shut	[0.13565477]
threatened	[0.0458266]
figures	[0.29030335]
graduated_magna_cum_laude	[0.18455264]
complained	[0.31939558]
startups	[0.15999954]
consoled	[0.82436624]
air_travel	[0.37463051]
schmidt	[0.38486768]
axis	[0.30267171]
revisit	[0.91274953]
wraparound	[0.11030094]
deputy_secretary	[0.05663796]
synagogue	[0.20497383]
congressional_district	[0.19456749]
pleas	[0.58676645]
makers	[0.40006128]
cables	[0.23726789]
awareness	[0.01969556]
unpaid	[0.24615079]
floridian	[0.17324729]
hostile_nations	[0.34714017]
posture	[0.42838518]
plains	[0.11011375]
leadership	[0.0224888]
kevin_mccarthy	[0.32996085]
christian_faith	[0.51624636]
foreign_nationals	[0.58784835]
trapped	[0.29102092]
status_quo	[0.42591939]
jaime	[0.13562957]
